fileName,config,valueSol,tempExec, sol
instances/qbf060,P,503.0,276.07, "Solution: cost=[503.0], size=[28], elements=[2, 3, 4, 11, 12, 14, 16, 17, 19, 24, 26, 27, 29, 30, 33, 34, 35, 38, 41, 42, 44, 45, 49, 51, 54, 55, 56, 59]"
instances/qbf080,P,821.0,471.446, "Solution: cost=[821.0], size=[33], elements=[1, 2, 3, 4, 5, 9, 12, 13, 18, 19, 22, 24, 27, 29, 31, 37, 42, 43, 44, 46, 48, 51, 54, 57, 58, 60, 62, 64, 69, 70, 71, 73, 75]"
instances/qbf100,P,1263.0,714.901, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,P,3829.0,1800.033, "Solution: cost=[3829.0], size=[91], elements=[1, 4, 5, 7, 9, 11, 12, 17, 18, 21, 23, 25, 26, 28, 29, 30, 38, 42, 45, 46, 49, 50, 51, 52, 54, 55, 56, 62, 66, 69, 70, 72, 77, 79, 80, 81, 82, 84, 85, 88, 92, 95, 99, 100, 102, 103, 104, 105, 108, 111, 114, 117, 119, 123, 125, 129, 131, 134, 136, 138, 139, 141, 145, 147, 148, 153, 154, 155, 156, 157, 158, 160, 161, 162, 163, 164, 166, 167, 169, 170, 171, 172, 174, 176, 178, 179, 181, 184, 195, 198, 199]"
instances/qbf400,P,9872.0,1800.037, "Solution: cost=[9872.0], size=[185], elements=[1, 2, 4, 5, 6, 9, 10, 16, 17, 18, 21, 25, 30, 31, 33, 38, 43, 44, 45, 47, 49, 50, 51, 53, 54, 56, 57, 61, 63, 65, 66, 67, 69, 76, 80, 82, 85, 86, 89, 92, 93, 94, 95, 96, 97, 99, 100, 101, 103, 106, 108, 110, 113, 114, 115, 119, 124, 125, 126, 137, 138, 139, 140, 141, 143, 145, 146, 147, 148, 152, 153, 154, 155, 156, 157, 158, 159, 160, 162, 166, 169, 174, 177, 179, 182, 183, 184, 189, 190, 191, 192, 193, 195, 196, 198, 208, 211, 215, 216, 217, 220, 225, 227, 229, 230, 233, 234, 236, 237, 239, 240, 243, 244, 247, 248, 250, 252, 253, 260, 265, 266, 269, 271, 273, 276, 278, 284, 285, 286, 288, 289, 290, 293, 295, 296, 299, 304, 307, 309, 311, 312, 314, 316, 317, 320, 321, 323, 326, 327, 328, 332, 334, 335, 336, 338, 347, 350, 351, 354, 357, 358, 360, 364, 366, 367, 368, 373, 374, 375, 376, 378, 380, 381, 382, 383, 384, 386, 387, 388, 389, 390, 392, 393, 395, 397]"
instances/qbf060,A,498.0,1008.124, "Solution: cost=[498.0], size=[28], elements=[2, 3, 4, 14, 17, 19, 22, 23, 24, 26, 27, 29, 31, 32, 35, 38, 39, 41, 44, 45, 48, 49, 51, 53, 54, 55, 56, 59]"
instances/qbf080,A,818.0,1800.002, "Solution: cost=[818.0], size=[39], elements=[1, 2, 3, 4, 8, 9, 14, 18, 19, 20, 21, 22, 24, 31, 34, 36, 37, 40, 42, 43, 44, 46, 47, 48, 49, 50, 51, 53, 55, 58, 60, 61, 62, 64, 70, 71, 74, 75, 76]"
instances/qbf100,A,1263.0,1800.028, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,A,3932.0,1800.465, "Solution: cost=[3932.0], size=[95], elements=[4, 7, 9, 11, 13, 15, 16, 17, 19, 20, 23, 25, 30, 31, 34, 37, 43, 45, 47, 48, 49, 51, 54, 56, 61, 63, 66, 67, 69, 70, 76, 80, 81, 83, 84, 85, 86, 88, 90, 93, 94, 96, 97, 99, 100, 101, 105, 108, 110, 111, 114, 117, 118, 121, 122, 123, 124, 125, 127, 132, 134, 141, 143, 144, 145, 146, 147, 148, 151, 152, 154, 155, 156, 157, 158, 159, 160, 162, 165, 166, 171, 172, 174, 175, 177, 179, 182, 183, 184, 190, 192, 193, 194, 195, 197]"
instances/qbf400,A,7756.0,1800.902, "Solution: cost=[7756.0], size=[162], elements=[0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 25, 30, 31, 41, 47, 49, 50, 51, 53, 54, 56, 61, 63, 66, 67, 69, 70, 76, 77, 80, 82, 83, 84, 85, 87, 94, 95, 97, 99, 100, 101, 103, 108, 111, 113, 114, 123, 124, 125, 134, 138, 139, 140, 141, 143, 146, 148, 152, 154, 155, 156, 157, 158, 160, 166, 168, 169, 174, 187, 189, 190, 191, 194, 195, 197, 198, 201, 204, 205, 207, 208, 209, 210, 211, 212, 219, 220, 226, 227, 229, 230, 233, 234, 235, 236, 240, 243, 246, 247, 250, 252, 254, 260, 262, 263, 264, 269, 273, 277, 285, 288, 289, 290, 291, 293, 295, 296, 300, 303, 304, 306, 307, 309, 316, 317, 321, 324, 325, 326, 327, 328, 332, 335, 336, 338, 339, 340, 342, 349, 351, 353, 354, 363, 364, 366, 367, 368, 373, 374, 376, 380, 381, 385, 386, 387, 389, 393, 397]"
